Wormbase_ID,Gene_name
WBGene00007067,4R79.2
WBGene00007308,C04G2.9
WBGene00016322,C32E8.4
WBGene00007986,C36F7.5
WBGene00016612,C43G2.3
WBGene00016707,C46E10.1
WBGene00008660,clec-153
WBGene00008202,clec-197
WBGene00013933,clec-99
WBGene00017542,F17E9.5
WBGene00017945,F31D5.2
WBGene00018332,F42A9.3
WBGene00010254,F58E6.5
WBGene00007954,gcp-2.2
WBGene00010679,K08F4.5
WBGene00019289,kcc-3
WBGene00010829,M02B1.4
WBGene00003431,msp-33
WBGene00022751,msrp-2
WBGene00008077,oac-8
WBGene00004904,snf-5
WBGene00020370,T08H10.3
WBGene00021880,Y54G2A.15
WBGene00022143,Y71G12B.3
WBGene00022385,Y95B8A.4
WBGene00044393,ZK1248.20
WBGene00014104,ZK849.6
WBGene00000174,aqp-6
WBGene00007722,C25D7.15
WBGene00016107,C25G6.1
WBGene00008063,C41G7.6
WBGene00021017,cil-7
WBGene00009844,cwp-5
WBGene00009114,F25D7.5
WBGene00009147,F26C11.3
WBGene00018120,F36H12.4
WBGene00010316,F59B8.1
WBGene00003058,lov-1
WBGene00004035,pkd-2
WBGene00011214,R10E9.2
WBGene00004267,rab-3
WBGene00004921,snt-1
WBGene00011378,T02E1.6
WBGene00011523,T06D8.2
WBGene00011754,T13F3.7
WBGene00044205,T13F3.8
WBGene00011968,T23G11.1
WBGene00006532,tba-6
WBGene00006612,trf-1
WBGene00022454,trf-2
WBGene00013771,Y113G7C.1
WBGene00021633,Y47G6A.3
WBGene00013148,Y53F4A.2
WBGene00013498,Y70G10A.2
WBGene00000171,aqp-3
WBGene00015028,B0207.5
WBGene00007274,C03C11.1
WBGene00007478,C09F9.1
WBGene00015655,C09G12.5
WBGene00015846,C16C8.8
WBGene00015907,C17F3.1
WBGene00016288,C31H1.5
WBGene00016336,C33C12.4
WBGene00007905,C33G3.5
WBGene00016461,C35E7.9
WBGene00016541,C39H7.1
WBGene00008175,C48B4.12
WBGene00008201,C49C3.11
WBGene00008259,C52E4.7
WBGene00007248,catp-4
WBGene00021288,clec-123
WBGene00021118,clec-125
WBGene00018048,clec-137
WBGene00018096,clec-207
WBGene00018097,clec-208
WBGene00020945,clec-219
WBGene00021579,clec-73
WBGene00018548,clec-79
WBGene00013125,clec-92
WBGene00019096,cysl-4
WBGene00045355,D1086.17
WBGene00017112,E03H12.5
WBGene00017114,E03H12.7
WBGene00017325,F10C1.3
WBGene00017384,F11G11.4
WBGene00008724,F13A7.1
WBGene00008759,F13E9.10
WBGene00017455,F14D2.7
WBGene00008854,F15D3.4
WBGene00017573,F18E9.7
WBGene00017784,F25E5.3
WBGene00017788,F25E5.7
WBGene00009196,F28B1.2
WBGene00009269,F30A10.12
WBGene00017955,F31E8.5
WBGene00009416,F35E2.9
WBGene00018130,F36H12.17
WBGene00018119,F36H12.3
WBGene00018121,F36H12.5
WBGene00018134,F37A4.4
WBGene00018379,F43C11.2
WBGene00009751,F46A8.8
WBGene00018502,F46F5.11
WBGene00009959,F53B6.4
WBGene00009962,F53B6.7
WBGene00018773,F53G12.8
WBGene00018895,F55F8.7
WBGene00019024,F58A6.5
WBGene00010241,F58D2.2
WBGene00010314,F59B2.12
WBGene00001487,frk-1
WBGene00021113,gsp-3
WBGene00019260,H34I24.1
WBGene00006409,hdl-2
WBGene00019337,K02F6.3
WBGene00010547,K03H1.12
WBGene00010563,K04G2.4
WBGene00019459,K06H7.8
WBGene00010612,K07A1.5
WBGene00010651,K08C9.2
WBGene00010715,K09C8.2
WBGene00019586,K09F6.3
WBGene00010748,K10D11.4
WBGene00019646,K11D12.6
WBGene00019688,K12H6.8
WBGene00019689,K12H6.9
WBGene00016890,lst-5
WBGene00010900,M28.9
WBGene00010885,M7.9
WBGene00019783,M70.1
WBGene00019785,M70.3
WBGene00007446,mboa-4
WBGene00020116,moa-1
WBGene00003543,nas-24
WBGene00018196,nep-13
WBGene00008074,nkb-2
WBGene00017312,pitr-5
WBGene00019856,R03H10.4
WBGene00020084,R105.1
WBGene00007190,rmd-3
WBGene00016344,rsef-1
WBGene00017183,scl-15
WBGene00008030,scl-8
WBGene00019531,scrm-5
WBGene00012296,spe-46
WBGene00020353,T08B6.4
WBGene00020414,T10E9.4
WBGene00020713,T23B3.5
WBGene00020826,T26A8.3
WBGene00012087,T27E7.1
WBGene00006509,tag-164
WBGene00008231,tag-329
WBGene00017791,try-8
WBGene00009324,ttbk-3
WBGene00020986,W03D8.3
WBGene00021007,W03F11.4
WBGene00007060,wht-6
WBGene00022444,Y110A2AL.7
WBGene00021212,Y18H1A.8
WBGene00012595,Y38E10A.17
WBGene00012637,Y38H8A.3
WBGene00012809,Y43F8A.2
WBGene00013076,Y51A2D.8
WBGene00021969,Y57G7A.6
WBGene00021996,Y59E9AL.6
WBGene00022090,Y69A2AR.19
WBGene00014197,ZK1053.2
WBGene00022705,ZK354.2
WBGene00014082,ZK795.2
WBGene00007359,C06A12.8
WBGene00015856,C16C8.19
WBGene00015845,C16C8.7
WBGene00016054,C24D10.2
WBGene00016083,C25A8.2
WBGene00016179,C28C12.3
WBGene00195180,C41D11.10
WBGene00023424,C53D6.10
WBGene00000525,clc-4
WBGene00021142,clec-133
WBGene00018047,clec-136
WBGene00020067,clec-158
WBGene00009395,clec-64
WBGene00013930,clec-96
WBGene00044300,D1022.9
WBGene00008743,F13D12.9
WBGene00009016,F21D9.2
WBGene00044244,F26D10.13
WBGene00009154,F26D2.16
WBGene00045381,F28B1.9
WBGene00018098,F36F12.7
WBGene00018243,F40G9.7
WBGene00009748,F46A8.5
WBGene00018649,F49F1.9
WBGene00009938,F52F12.5
WBGene00010082,F55A11.11
WBGene00018968,F56D2.8
WBGene00044475,F56D6.13
WBGene00012500,hpo-2
WBGene00010531,K03D3.5
WBGene00010578,K04H8.3
WBGene00019430,K06A5.2
WBGene00019684,K12H6.4
WBGene00010946,M176.10
WBGene00010886,M7.10
WBGene00017063,mctp-1
WBGene00003536,nas-17
WBGene00004165,pqn-84
WBGene00010980,R02D5.7
WBGene00019896,R05G6.1
WBGene00011277,R53.8
WBGene00020070,rmd-6
WBGene00008029,scl-7
WBGene00011401,T03F6.6
WBGene00194894,T05B4.14
WBGene00011795,T16A9.5
WBGene00011919,T22C1.9
WBGene00011929,T22G5.1
WBGene00011961,T23G4.5
WBGene00020900,T28F2.1
WBGene00023425,try-9
WBGene00044356,W02D7.12
WBGene00020985,W03D8.2
WBGene00020990,W03D8.9
WBGene00013656,Y105C5B.17
WBGene00013657,Y105C5B.18
WBGene00013713,Y106G6G.4
WBGene00022443,Y110A2AL.6
WBGene00044030,Y17G7B.23
WBGene00021358,Y37E11AL.2
WBGene00012689,Y39B6A.30
WBGene00012711,Y39E4A.1
WBGene00012827,Y43F8C.5
WBGene00012905,Y46G5A.14
WBGene00021693,Y48G8AR.2
WBGene00044377,Y49F6B.13
WBGene00189961,Y54G2A.57
WBGene00013290,Y57G11A.2
WBGene00013473,Y69E1A.1
WBGene00022282,Y74C10AR.2
WBGene00194714,ZC204.17
WBGene00013879,ZC376.8
WBGene00022892,ZK1290.11
WBGene00022761,ZK546.4
WBGene00194934,ZK809.9
